image URN	folio URN
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0079	urn:cite:ogl:modena_alfa_t_8_21.folio.40r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0080	urn:cite:ogl:modena_alfa_t_8_21.folio.40v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0081	urn:cite:ogl:modena_alfa_t_8_21.folio.41r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0082	urn:cite:ogl:modena_alfa_t_8_21.folio.41v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0083	urn:cite:ogl:modena_alfa_t_8_21.folio.42r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0084	urn:cite:ogl:modena_alfa_t_8_21.folio.42v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0085	urn:cite:ogl:modena_alfa_t_8_21.folio.43r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0086	urn:cite:ogl:modena_alfa_t_8_21.folio.43v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0087	urn:cite:ogl:modena_alfa_t_8_21.folio.44r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0088	urn:cite:ogl:modena_alfa_t_8_21.folio.44v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0089	urn:cite:ogl:modena_alfa_t_8_21.folio.45r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0090	urn:cite:ogl:modena_alfa_t_8_21.folio.45v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0091	urn:cite:ogl:modena_alfa_t_8_21.folio.46r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0092	urn:cite:ogl:modena_alfa_t_8_21.folio.46v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0093	urn:cite:ogl:modena_alfa_t_8_21.folio.47r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0094	urn:cite:ogl:modena_alfa_t_8_21.folio.47v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0095	urn:cite:ogl:modena_alfa_t_8_21.folio.48r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0096	urn:cite:ogl:modena_alfa_t_8_21.folio.48v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0097	urn:cite:ogl:modena_alfa_t_8_21.folio.49r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0098	urn:cite:ogl:modena_alfa_t_8_21.folio.49v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0099	urn:cite:ogl:modena_alfa_t_8_21.folio.50r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0100	urn:cite:ogl:modena_alfa_t_8_21.folio.50v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0101	urn:cite:ogl:modena_alfa_t_8_21.folio.51r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0102	urn:cite:ogl:modena_alfa_t_8_21.folio.51v
