image URN	folio URN
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0117	urn:cite:ogl:paris_grec2373.folio.55v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0118	urn:cite:ogl:paris_grec2373.folio.56r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0119	urn:cite:ogl:paris_grec2373.folio.56v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0120	urn:cite:ogl:paris_grec2373.folio.57r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0121	urn:cite:ogl:paris_grec2373.folio.57v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0122	urn:cite:ogl:paris_grec2373.folio.58r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0123	urn:cite:ogl:paris_grec2373.folio.58v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0124	urn:cite:ogl:paris_grec2373.folio.59r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0125	urn:cite:ogl:paris_grec2373.folio.59v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0126	urn:cite:ogl:paris_grec2373.folio.60r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0127	urn:cite:ogl:paris_grec2373.folio.60v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0128	urn:cite:ogl:paris_grec2373.folio.61r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0129	urn:cite:ogl:paris_grec2373.folio.61v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0130	urn:cite:ogl:paris_grec2373.folio.62r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0131	urn:cite:ogl:paris_grec2373.folio.62v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0132	urn:cite:ogl:paris_grec2373.folio.63r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0133	urn:cite:ogl:paris_grec2373.folio.63v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0134	urn:cite:ogl:paris_grec2373.folio.64r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0135	urn:cite:ogl:paris_grec2373.folio.64v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0136	urn:cite:ogl:paris_grec2373.folio.65r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0137	urn:cite:ogl:paris_grec2373.folio.65v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0138	urn:cite:ogl:paris_grec2373.folio.66r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0139	urn:cite:ogl:paris_grec2373.folio.66v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0140	urn:cite:ogl:paris_grec2373.folio.67r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0141	urn:cite:ogl:paris_grec2373.folio.67v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0142	urn:cite:ogl:paris_grec2373.folio.68r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0143	urn:cite:ogl:paris_grec2373.folio.68v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0144	urn:cite:ogl:paris_grec2373.folio.69r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0145	urn:cite:ogl:paris_grec2373.folio.69v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0146	urn:cite:ogl:paris_grec2373.folio.70r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0147	urn:cite:ogl:paris_grec2373.folio.70v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0148	urn:cite:ogl:paris_grec2373.folio.71r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0149	urn:cite:ogl:paris_grec2373.folio.71v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0150	urn:cite:ogl:paris_grec2373.folio.72r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0151	urn:cite:ogl:paris_grec2373.folio.72v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0152	urn:cite:ogl:paris_grec2373.folio.73r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0153	urn:cite:ogl:paris_grec2373.folio.73v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0154	urn:cite:ogl:paris_grec2373.folio.74r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0155	urn:cite:ogl:paris_grec2373.folio.74v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0156	urn:cite:ogl:paris_grec2373.folio.75r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0157	urn:cite:ogl:paris_grec2373.folio.75v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0158	urn:cite:ogl:paris_grec2373.folio.76r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0159	urn:cite:ogl:paris_grec2373.folio.76v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0160	urn:cite:ogl:paris_grec2373.folio.77r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0161	urn:cite:ogl:paris_grec2373.folio.77v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0162	urn:cite:ogl:paris_grec2373.folio.78r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0163	urn:cite:ogl:paris_grec2373.folio.78v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0164	urn:cite:ogl:paris_grec2373.folio.79r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0165	urn:cite:ogl:paris_grec2373.folio.79v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0166	urn:cite:ogl:paris_grec2373.folio.80r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0167	urn:cite:ogl:paris_grec2373.folio.80v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0168	urn:cite:ogl:paris_grec2373.folio.81r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0169	urn:cite:ogl:paris_grec2373.folio.81v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0170	urn:cite:ogl:paris_grec2373.folio.82r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0171	urn:cite:ogl:paris_grec2373.folio.82v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0172	urn:cite:ogl:paris_grec2373.folio.83r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0173	urn:cite:ogl:paris_grec2373.folio.83v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0174	urn:cite:ogl:paris_grec2373.folio.84r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0175	urn:cite:ogl:paris_grec2373.folio.84v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0176	urn:cite:ogl:paris_grec2373.folio.85r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0177	urn:cite:ogl:paris_grec2373.folio.85v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0178	urn:cite:ogl:paris_grec2373.folio.86r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0179	urn:cite:ogl:paris_grec2373.folio.86v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0180	urn:cite:ogl:paris_grec2373.folio.87r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0181	urn:cite:ogl:paris_grec2373.folio.87v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0182	urn:cite:ogl:paris_grec2373.folio.88r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0183	urn:cite:ogl:paris_grec2373.folio.88v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0184	urn:cite:ogl:paris_grec2373.folio.89r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0185	urn:cite:ogl:paris_grec2373.folio.89v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0186	urn:cite:ogl:paris_grec2373.folio.90r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0187	urn:cite:ogl:paris_grec2373.folio.90v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0188	urn:cite:ogl:paris_grec2373.folio.91r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0189	urn:cite:ogl:paris_grec2373.folio.91v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0190	urn:cite:ogl:paris_grec2373.folio.92r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0191	urn:cite:ogl:paris_grec2373.folio.92v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0192	urn:cite:ogl:paris_grec2373.folio.93r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0193	urn:cite:ogl:paris_grec2373.folio.93v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0194	urn:cite:ogl:paris_grec2373.folio.94r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0195	urn:cite:ogl:paris_grec2373.folio.94v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0196	urn:cite:ogl:paris_grec2373.folio.95r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0197	urn:cite:ogl:paris_grec2373.folio.95v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0198	urn:cite:ogl:paris_grec2373.folio.96r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0199	urn:cite:ogl:paris_grec2373.folio.96v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0200	urn:cite:ogl:paris_grec2373.folio.97r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0201	urn:cite:ogl:paris_grec2373.folio.97v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0202	urn:cite:ogl:paris_grec2373.folio.98r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0203	urn:cite:ogl:paris_grec2373.folio.98v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0204	urn:cite:ogl:paris_grec2373.folio.99r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0205	urn:cite:ogl:paris_grec2373.folio.99v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0206	urn:cite:ogl:paris_grec2373.folio.100r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0207	urn:cite:ogl:paris_grec2373.folio.100v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0208	urn:cite:ogl:paris_grec2373.folio.101r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0209	urn:cite:ogl:paris_grec2373.folio.101v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0210	urn:cite:ogl:paris_grec2373.folio.102r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0211	urn:cite:ogl:paris_grec2373.folio.102v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0212	urn:cite:ogl:paris_grec2373.folio.103r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0213	urn:cite:ogl:paris_grec2373.folio.103v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0214	urn:cite:ogl:paris_grec2373.folio.104r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0215	urn:cite:ogl:paris_grec2373.folio.104v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0216	urn:cite:ogl:paris_grec2373.folio.105r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0217	urn:cite:ogl:paris_grec2373.folio.105v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0218	urn:cite:ogl:paris_grec2373.folio.106r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0219	urn:cite:ogl:paris_grec2373.folio.106v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0220	urn:cite:ogl:paris_grec2373.folio.107r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0221	urn:cite:ogl:paris_grec2373.folio.107v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0222	urn:cite:ogl:paris_grec2373.folio.108r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0223	urn:cite:ogl:paris_grec2373.folio.108v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0224	urn:cite:ogl:paris_grec2373.folio.109r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0225	urn:cite:ogl:paris_grec2373.folio.109v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0226	urn:cite:ogl:paris_grec2373.folio.110r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0227	urn:cite:ogl:paris_grec2373.folio.110v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0228	urn:cite:ogl:paris_grec2373.folio.111r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0229	urn:cite:ogl:paris_grec2373.folio.111v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0230	urn:cite:ogl:paris_grec2373.folio.112r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0231	urn:cite:ogl:paris_grec2373.folio.112v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0232	urn:cite:ogl:paris_grec2373.folio.113r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0233	urn:cite:ogl:paris_grec2373.folio.113v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0234	urn:cite:ogl:paris_grec2373.folio.114r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0235	urn:cite:ogl:paris_grec2373.folio.114v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0236	urn:cite:ogl:paris_grec2373.folio.115r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0237	urn:cite:ogl:paris_grec2373.folio.115v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0238	urn:cite:ogl:paris_grec2373.folio.116r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0239	urn:cite:ogl:paris_grec2373.folio.116v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0240	urn:cite:ogl:paris_grec2373.folio.117r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0241	urn:cite:ogl:paris_grec2373.folio.117v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0242	urn:cite:ogl:paris_grec2373.folio.118r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0243	urn:cite:ogl:paris_grec2373.folio.118v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0244	urn:cite:ogl:paris_grec2373.folio.119r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0245	urn:cite:ogl:paris_grec2373.folio.119v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0246	urn:cite:ogl:paris_grec2373.folio.120r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0247	urn:cite:ogl:paris_grec2373.folio.120v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0248	urn:cite:ogl:paris_grec2373.folio.121r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0249	urn:cite:ogl:paris_grec2373.folio.121v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0250	urn:cite:ogl:paris_grec2373.folio.122r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0251	urn:cite:ogl:paris_grec2373.folio.122v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0252	urn:cite:ogl:paris_grec2373.folio.123r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0253	urn:cite:ogl:paris_grec2373.folio.123v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0254	urn:cite:ogl:paris_grec2373.folio.124r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0255	urn:cite:ogl:paris_grec2373.folio.124v
