image URN	page URN
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0149	urn:cite:ogl:1883grclat1_v2.page.122
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0150	urn:cite:ogl:1883grclat1_v2.page.123
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0151	urn:cite:ogl:1883grclat1_v2.page.124
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0152	urn:cite:ogl:1883grclat1_v2.page.125
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0153	urn:cite:ogl:1883grclat1_v2.page.126
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0154	urn:cite:ogl:1883grclat1_v2.page.127
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0155	urn:cite:ogl:1883grclat1_v2.page.128
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0156	urn:cite:ogl:1883grclat1_v2.page.129
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0157	urn:cite:ogl:1883grclat1_v2.page.130
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0158	urn:cite:ogl:1883grclat1_v2.page.131
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0159	urn:cite:ogl:1883grclat1_v2.page.132
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0160	urn:cite:ogl:1883grclat1_v2.page.133
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0161	urn:cite:ogl:1883grclat1_v2.page.134
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0162	urn:cite:ogl:1883grclat1_v2.page.135
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0163	urn:cite:ogl:1883grclat1_v2.page.136
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0164	urn:cite:ogl:1883grclat1_v2.page.137
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0165	urn:cite:ogl:1883grclat1_v2.page.138
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0166	urn:cite:ogl:1883grclat1_v2.page.139
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0167	urn:cite:ogl:1883grclat1_v2.page.140
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0168	urn:cite:ogl:1883grclat1_v2.page.141
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0169	urn:cite:ogl:1883grclat1_v2.page.142
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0170	urn:cite:ogl:1883grclat1_v2.page.143
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0171	urn:cite:ogl:1883grclat1_v2.page.144
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0172	urn:cite:ogl:1883grclat1_v2.page.145
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0173	urn:cite:ogl:1883grclat1_v2.page.146
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0174	urn:cite:ogl:1883grclat1_v2.page.147
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0175	urn:cite:ogl:1883grclat1_v2.page.148
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0176	urn:cite:ogl:1883grclat1_v2.page.149
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0177	urn:cite:ogl:1883grclat1_v2.page.150
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0178	urn:cite:ogl:1883grclat1_v2.page.151
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0179	urn:cite:ogl:1883grclat1_v2.page.152
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0180	urn:cite:ogl:1883grclat1_v2.page.153
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0181	urn:cite:ogl:1883grclat1_v2.page.154
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0182	urn:cite:ogl:1883grclat1_v2.page.155
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0183	urn:cite:ogl:1883grclat1_v2.page.156
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0184	urn:cite:ogl:1883grclat1_v2.page.157
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0185	urn:cite:ogl:1883grclat1_v2.page.158
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0186	urn:cite:ogl:1883grclat1_v2.page.159
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0187	urn:cite:ogl:1883grclat1_v2.page.160
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0188	urn:cite:ogl:1883grclat1_v2.page.161
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0189	urn:cite:ogl:1883grclat1_v2.page.162
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0190	urn:cite:ogl:1883grclat1_v2.page.163
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0191	urn:cite:ogl:1883grclat1_v2.page.164
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0192	urn:cite:ogl:1883grclat1_v2.page.165
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0193	urn:cite:ogl:1883grclat1_v2.page.166
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0194	urn:cite:ogl:1883grclat1_v2.page.167
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0195	urn:cite:ogl:1883grclat1_v2.page.168
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0196	urn:cite:ogl:1883grclat1_v2.page.169
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0197	urn:cite:ogl:1883grclat1_v2.page.170
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0198	urn:cite:ogl:1883grclat1_v2.page.171
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0199	urn:cite:ogl:1883grclat1_v2.page.172
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0200	urn:cite:ogl:1883grclat1_v2.page.173
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0201	urn:cite:ogl:1883grclat1_v2.page.174
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0202	urn:cite:ogl:1883grclat1_v2.page.175
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0203	urn:cite:ogl:1883grclat1_v2.page.176
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0204	urn:cite:ogl:1883grclat1_v2.page.177
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0205	urn:cite:ogl:1883grclat1_v2.page.178
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0206	urn:cite:ogl:1883grclat1_v2.page.179
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0207	urn:cite:ogl:1883grclat1_v2.page.180
