Current Perseus ID	Numbering in work	Folio	Link	Temp PNG File	PDF Page	Coords
Euc. 5.Prop.24	5.prop.	86r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f177.image.r=euclide.langEN		178	
Euc. 5.Prop.25	5.prop.	86r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f177.image.r=euclide.langEN		178	
Euc. 6.Prop.1	6.prop.	86v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f178.image.r=euclide.langEN		179	
Euc. 6.Prop.2	6.prop.	87r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f179.image.r=euclide.langEN		180	
Euc. 6.Prop.3	6.prop.	87v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f180.image.r=euclide.langEN		181	
Euc. 6.Prop.4	6.prop.	88r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f181.image.r=euclide.langEN		182	
Euc. 6.Prop.5	6.prop.	88v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f182.image.r=euclide.langEN		183	
Euc. 6.Prop.6	6.prop.	89r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f183.image.r=euclide.langEN		184	
Euc. 6.Prop.7	6.prop.	89v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f184.image.r=euclide.langEN		185	
Euc. 6.Prop.8	6.prop.	90r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f185.image.r=euclide.langEN		186	
Euc. 6.Prop.9	6.prop.	90v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f186.image.r=euclide.langEN		187	
Euc. 6.Prop.10	6.prop.	90v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f186.image.r=euclide.langEN		187	
Euc. 6.Prop.11	6.prop.	91r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f187.image.r=euclide.langEN		188	
Euc. 6.Prop.12	6.prop.	91r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f187.image.r=euclide.langEN		188	
Euc. 6.Prop.13	6.prop.	91v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f188.image.r=euclide.langEN		189	
Euc. 6.Prop.14	6.prop.	91v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f188.image.r=euclide.langEN		189	
Euc. 6.Prop.15	6.prop.	92r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f189.image.r=euclide.langEN		190	
Euc. 6.Prop.16	6.prop.	92v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f190.image.r=euclide.langEN		191	
Euc. 6.Prop.17	6.prop.	93r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f191.image.r=euclide.langEN		192	
Euc. 6.Prop.18	6.prop.	93r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f191.image.r=euclide.langEN		192	
Euc. 6.Prop.19	6.prop.	93v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f192.image.r=euclide.langEN		193	
Euc. 6.Prop.20	6.prop.	94r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f193.image.r=euclide.langEN		194	
Euc. 6.Prop.21	6.prop.	95v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f196.image.r=euclide.langEN		197	
Euc. 6.Prop.22	6.prop.	96r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f197.image.r=euclide.langEN		198	
Euc. 6.Prop.23	6.prop.	96v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f198.image.r=euclide.langEN		199	
Euc. 6.Prop.24	6.prop.	96v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f198.image.r=euclide.langEN		199	
Euc. 6.Prop.25	6.prop.	97v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f200.image.r=euclide.langEN		201	
Euc. 6.Prop.26	6.prop.	97v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f200.image.r=euclide.langEN		201	
Euc. 6.Prop.27	6.prop.	98r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f201.image.r=euclide.langEN		202	
Euc. 6.Prop.28	6.prop.	98v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f202.image.r=euclide.langEN		203	
Euc. 6.Prop.29	6.prop.	99r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f203.image.r=euclide.langEN		204	
Euc. 6.Prop.30	6.prop.	99v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f204.image.r=euclide.langEN		205	
Euc. 6.Prop.31	6.prop.	99v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f204.image.r=euclide.langEN		205	
Euc. 6.Prop.32	6.prop.	100r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f205.image.r=euclide.langEN		206	
Euc. 6.Prop.32	6.prop.	100v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f206.image.r=euclide.langEN		207	
Euc. 6.Prop.33	6.prop.	100v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f206.image.r=euclide.langEN		207	
Euc. 7.Prop.1	7.prop.	102r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f209.image.r=euclide.langEN		210	
Euc. 7.Prop.1	7.prop.	102v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f210.image.r=euclide.langEN		211	
Euc. 7.Prop.2	7.prop.	102v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f210.image.r=euclide.langEN		211	
Euc. 7.Prop.3	7.prop.	103r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f211.image.r=euclide.langEN		212	
Euc. 7.Prop.4	7.prop.	103v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f212.image.r=euclide.langEN		213	
Euc. 7.Prop.5	7.prop.	103v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f212.image.r=euclide.langEN		213	
Euc. 7.Prop.6	7.prop.	104r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f213.image.r=euclide.langEN		214	
Euc. 7.Prop.7	7.prop.	104r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f213.image.r=euclide.langEN		214	
Euc. 7.Prop.8	7.prop.	104v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f214.image.r=euclide.langEN		215	
Euc. 7.Prop.8	7.prop.	105r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f215.image.r=euclide.langEN		216	
Euc. 7.Prop.9	7.prop.	105r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f215.image.r=euclide.langEN		216	
