primary id	primary id type	additional ids (id|type;etc)	primary title	other titles (title|type;etc)	author	author term of address	author date(s)	authority;authorityURI;valueURI	editor or translator	name	term of address	date(s)	authority;authorityURI;valueURI	editor or translator	name	term of address	date(s)	authority;authorityURI;valueURI	editor or translator	name	term of address	date(s)	authority;authorityURI;valueURI	manuscript? (t/f)	country code	city	publisher	dateIssued	dateCreated	dateModified	edition	text language code	other languages (lang code|objectPart;)	extent desc.	page start	page end	page range	Topics, ; separated	series title	online location (label|url;etc)	physical location (type|name;etc.)	shelf locator	notes	table of contents	multivolume? (t/f)
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1566_grc1|cts urn;urn:cite:ogl:1566grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Conrad Dasypodius			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/10637055/											f		Argentoratum	Josias Richelius	1566				grc	lat|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=SsJCAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/220734657;Google Books|https://books.google.de/books?id=T8JCAAAAcAAJ				1-6	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1566_lat1|cts urn;urn:cite:ogl:1566grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Conrad Dasypodius			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/10637055/											f		Argentoratum	Josias Richelius	1566				lat	grc|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=SsJCAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/220734657;Google Books|https://books.google.de/books?id=T8JCAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/220734657				1-6	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1570_grc1|cts urn;urn:cite:ogl:1570grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Conrad Dasypodius			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/10637055/											f		Argentoratum	apud haeredes Christiani Mylius	1570				grc	lat|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=9JJ3Sxt-ReQC;WorldCat|http://www.worldcat.org/oclc/258264805;Google Books|https://books.google.de/books?id=D-JRAAAAcAAJ				1	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1570_lat1|cts urn;urn:cite:ogl:1570grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Conrad Dasypodius			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/10637055/											f		Argentoratum	apud haeredes Christiani Mylius	1570				lat	grc|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=9JJ3Sxt-ReQC;WorldCat|http://www.worldcat.org/oclc/258264805;Google Books|https://books.google.de/books?id=D-JRAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/258264805				1	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1570_grc2|cts urn;urn:cite:ogl:1570grclat2|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Conrad Dasypodius			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/10637055/											f		Argentoratum	apud haeredes Christiani Mylius	1570				grc	lat|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=b_AegGpLGmwC;WorldCat|http://www.worldcat.org/oclc/224476256;Google Books|https://books.google.de/books?id=sN5RAAAAcAAJ				1-15(selections)	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1570_lat2|cts urn;urn:cite:ogl:1570grclat2|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Conrad Dasypodius			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/10637055/											f		Argentoratum	apud haeredes Christiani Mylius	1570				lat	grc|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=b_AegGpLGmwC;WorldCat|http://www.worldcat.org/oclc/224476256;Google Books|https://books.google.de/books?id=sN5RAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/224476256				1-15(selections)	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1571_grc1|cts urn;urn:cite:ogl:1571grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Conrad Dasypodius			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/10637055/											f		Argentoratum	per Chr. Mylium	1571				grc	lat|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=0d5RAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/23622790;Google Books|https://books.google.de/books?id=0d5RAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/23622790;Google Books|https://books.google.de/books?id=ARpaAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/23622790;Internet Archive|https://archive.org/details/bub_gb_0d5RAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/220734675;WorldCat|http://www.worldcat.org/oclc/23622790				1-15(selections)	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1571_lat1|cts urn;urn:cite:ogl:1571grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Conrad Dasypodius			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/10637055/											f		Argentoratum	per Chr. Mylium	1571				lat	grc|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=0d5RAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/23622790;Google Books|https://books.google.de/books?id=0d5RAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/23622790;Google Books|https://books.google.de/books?id=ARpaAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/23622790;Internet Archive|https://archive.org/details/bub_gb_0d5RAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/220734675;WorldCat|http://www.worldcat.org/oclc/23622790				1-15(selections)	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1572_lat1|cts urn;urn:cite:ogl:1572lat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	translator	Federico Commandino			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/17338797/											f		Pisa	apud Camillum Francischinum	1572				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=diMQD5N8m4YC;WorldCat|http://www.worldcat.org/oclc/2359893;Google Books|https://books.google.de/books?id=dr5bgX1oHeEC;WorldCat|http://www.worldcat.org/oclc/2359893;Google Books|https://books.google.de/books?id=jEoRPuxe_pcC;WorldCat|http://www.worldcat.org/oclc/2359893;Google Books|https://books.google.de/books?id=r8dCAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/2359893				1-15	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1573_grc1|cts urn;urn:cite:ogl:1573grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097																f		Paris	apud Hieronymum de Marnef et Gulielmum Cavellat	1573				grc	lat|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=GRpaAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/560836362				1-15(selections)	f
