Current Perseus ID	Numbering in work	Page	Link	Temp PNG File	PDF Page	Coords
Euc. 4.Prop.4	4.prop.4	46	https://archive.org/stream/gri_000033125009354198#page/n51/mode/2up			
Euc. 4.Prop.5	4.prop.5	46	https://archive.org/stream/gri_000033125009354198#page/n51/mode/2up			
Euc. 4.Prop.6	4.prop.6	47	https://archive.org/stream/gri_000033125009354198#page/n51/mode/2up			
Euc. 4.Prop.7	4.prop.7	47	https://archive.org/stream/gri_000033125009354198#page/n51/mode/2up			
Euc. 4.Prop.8	4.prop.8	48	https://archive.org/stream/gri_000033125009354198#page/n53/mode/2up			
Euc. 4.Prop.9	4.prop.9	48	https://archive.org/stream/gri_000033125009354198#page/n53/mode/2up			
Euc. 4.Prop.10	4.prop.10	48	https://archive.org/stream/gri_000033125009354198#page/n53/mode/2up			
Euc. 4.Prop.11	4.prop.11	50	https://archive.org/stream/gri_000033125009354198#page/n55/mode/2up			
Euc. 4.Prop.12	4.prop.12	50	https://archive.org/stream/gri_000033125009354198#page/n55/mode/2up			
Euc. 4.Prop.13	4.prop.13	51	https://archive.org/stream/gri_000033125009354198#page/n55/mode/2up			
Euc. 4.Prop.14	4.prop.14	52	https://archive.org/stream/gri_000033125009354198#page/n57/mode/2up			
Euc. 4.Prop.15	4.prop.15	52	https://archive.org/stream/gri_000033125009354198#page/n57/mode/2up			
Euc. 4.Prop.16	4.prop.16	53	https://archive.org/stream/gri_000033125009354198#page/n57/mode/2up			
	5.prop.1	66	https://archive.org/stream/gri_000033125009354198#page/n71/mode/2up			
	5.prop.2	67	https://archive.org/stream/gri_000033125009354198#page/n71/mode/2up			
	5.prop.3	67	https://archive.org/stream/gri_000033125009354198#page/n71/mode/2up			
	5.prop.4	68	https://archive.org/stream/gri_000033125009354198#page/n73/mode/2up			
	5.prop.5	68	https://archive.org/stream/gri_000033125009354198#page/n73/mode/2up			
	5.prop.6	68	https://archive.org/stream/gri_000033125009354198#page/n73/mode/2up			
	5.prop.7	69	https://archive.org/stream/gri_000033125009354198#page/n73/mode/2up			
	5.prop.8	70	https://archive.org/stream/gri_000033125009354198#page/n75/mode/2up			
	5.prop.9	71	https://archive.org/stream/gri_000033125009354198#page/n75/mode/2up			
	5.prop.10	71	https://archive.org/stream/gri_000033125009354198#page/n75/mode/2up			
	5.prop.11	71	https://archive.org/stream/gri_000033125009354198#page/n75/mode/2up			
	5.prop.12	71	https://archive.org/stream/gri_000033125009354198#page/n75/mode/2up			
	5.prop.13	73	https://archive.org/stream/gri_000033125009354198#page/n77/mode/2up			
	5.prop.14	73	https://archive.org/stream/gri_000033125009354198#page/n77/mode/2up			
	5.prop.15	73	https://archive.org/stream/gri_000033125009354198#page/n77/mode/2up			
	5.prop.16	74	https://archive.org/stream/gri_000033125009354198#page/n79/mode/2up			
	5.prop.17	74	https://archive.org/stream/gri_000033125009354198#page/n79/mode/2up			
	5.prop.18	74	https://archive.org/stream/gri_000033125009354198#page/n79/mode/2up			
	5.prop.19	75	https://archive.org/stream/gri_000033125009354198#page/n79/mode/2up			
	5.prop.20	75	https://archive.org/stream/gri_000033125009354198#page/n79/mode/2up			
	5.prop.21	76	https://archive.org/stream/gri_000033125009354198#page/n81/mode/2up			
	5.prop.22	77	https://archive.org/stream/gri_000033125009354198#page/n81/mode/2up			
	5.prop.23	77	https://archive.org/stream/gri_000033125009354198#page/n81/mode/2up			
	5.prop.24	78	https://archive.org/stream/gri_000033125009354198#page/n83/mode/2up			
	5.prop.25	78	https://archive.org/stream/gri_000033125009354198#page/n83/mode/2up			
	5.prop.26	78	https://archive.org/stream/gri_000033125009354198#page/n83/mode/2up			
	5.prop.27	79	https://archive.org/stream/gri_000033125009354198#page/n83/mode/2up			
	5.prop.28	79	https://archive.org/stream/gri_000033125009354198#page/n83/mode/2up			
	5.prop.29	80	https://archive.org/stream/gri_000033125009354198#page/n83/mode/2up			
	5.prop.30	80	https://archive.org/stream/gri_000033125009354198#page/n83/mode/2up			
	5.prop.31	80	https://archive.org/stream/gri_000033125009354198#page/n83/mode/2up			
	5.prop.32	81	https://archive.org/stream/gri_000033125009354198#page/n83/mode/2up			
	5.prop.33	81	https://archive.org/stream/gri_000033125009354198#page/n83/mode/2up			
	5.prop.34	81	https://archive.org/stream/gri_000033125009354198#page/n83/mode/2up			
Euc. 6.Prop.1	6.prop.1	82	https://archive.org/stream/gri_000033125009354198#page/n87/mode/2up			
Euc. 6.Prop.2	6.prop.2	83	https://archive.org/stream/gri_000033125009354198#page/n87/mode/2up			
Euc. 6.Prop.3	6.prop.3	83	https://archive.org/stream/gri_000033125009354198#page/n87/mode/2up			
Euc. 6.Prop.4	6.prop.4	84	https://archive.org/stream/gri_000033125009354198#page/n89/mode/2up			
Euc. 6.Prop.5	6.prop.5	84	https://archive.org/stream/gri_000033125009354198#page/n89/mode/2up			
Euc. 6.Prop.6	6.prop.6	84	https://archive.org/stream/gri_000033125009354198#page/n89/mode/2up			
Euc. 6.Prop.7	6.prop.7	85	https://archive.org/stream/gri_000033125009354198#page/n89/mode/2up			
Euc. 6.Prop.8	6.prop.8	85	https://archive.org/stream/gri_000033125009354198#page/n89/mode/2up			
Euc. 6.Prop.9	6.prop.11	86	https://archive.org/stream/gri_000033125009354198#page/n91/mode/2up			
Euc. 6.Prop.10	6.prop.12	87	https://archive.org/stream/gri_000033125009354198#page/n91/mode/2up			
Euc. 6.Prop.11	6.prop.10	86	https://archive.org/stream/gri_000033125009354198#page/n91/mode/2up			
Euc. 6.Prop.12						
Euc. 6.Prop.13	6.prop.9	86	https://archive.org/stream/gri_000033125009354198#page/n91/mode/2up			
Euc. 6.Prop.14	6.prop.13	87	https://archive.org/stream/gri_000033125009354198#page/n91/mode/2up			
Euc. 6.Prop.15	6.prop.14	87	https://archive.org/stream/gri_000033125009354198#page/n91/mode/2up			
Euc. 6.Prop.15	6.prop.14	88	https://archive.org/stream/gri_000033125009354198#page/n93/mode/2up			
Euc. 6.Prop.16	6.prop.15	88	https://archive.org/stream/gri_000033125009354198#page/n93/mode/2up			
Euc. 6.Prop.17	6.prop.16	88	https://archive.org/stream/gri_000033125009354198#page/n93/mode/2up			
Euc. 6.Prop.18	6.prop.19	90	https://archive.org/stream/gri_000033125009354198#page/n95/mode/2up			
Euc. 6.Prop.19	6.prop.17	89	https://archive.org/stream/gri_000033125009354198#page/n93/mode/2up			
Euc. 6.Prop.20	6.prop.18	89	https://archive.org/stream/gri_000033125009354198#page/n93/mode/2up			
Euc. 6.Prop.21	6.prop.20	90	https://archive.org/stream/gri_000033125009354198#page/n95/mode/2up			
Euc. 6.Prop.22	6.prop.					
Euc. 6.Prop.23	6.prop.					
Euc. 6.Prop.24	6.prop.			come back and figure out order		
Euc. 6.Prop.25	6.prop.					
Euc. 6.Prop.26	6.prop.					
Euc. 6.Prop.27	6.prop.					
Euc. 6.Prop.28	6.prop.					
Euc. 6.Prop.29	6.prop.29	95	https://archive.org/stream/gri_000033125009354198#page/n99/mode/2up			
Euc. 6.Prop.30	6.prop.					
Euc. 6.Prop.31	6.prop.					
Euc. 6.Prop.32	6.prop.30	95	https://archive.org/stream/gri_000033125009354198#page/n99/mode/2up			
Euc. 6.Prop.33	6.prop.32	96	https://archive.org/stream/gri_000033125009354198#page/n101/mode/2up			
Euc. 7.Prop.1	7.prop.1	98	https://archive.org/stream/gri_000033125009354198#page/n103/mode/2up			
