Current Perseus ID	Numbering in work	Folio	Link	Temp PNG File	PDF Page	Coords
Euc. 9.Prop.13	9.prop.13	108r			214	
Euc. 9.Prop.14	9.prop.14	108v			215	
Euc. 9.Prop.14	9.prop.14	109r			216	
Euc. 9.Prop.15	9.prop.15	109r			216	
Euc. 9.Prop.16	9.prop.16	109v			217	
Euc. 9.Prop.17	9.prop.17	110r			218	
Euc. 9.Prop.18	9.prop.18	110r			218	
Euc. 9.Prop.19	9.prop.19	110v			219	
Euc. 9.Prop.20	9.prop.20	110v			219	
Euc. 9.Prop.21	9.prop.21	111r			220	
Euc. 9.Prop.22	9.prop.22	111r			220	
Euc. 9.Prop.23	9.prop.23	111r			220	
Euc. 9.Prop.24	9.prop.24	111v			221	
Euc. 9.Prop.25	9.prop.25	111v			221	
Euc. 9.Prop.26	9.prop.26	111v			221	
Euc. 9.Prop.27	9.prop.27	111v			221	
Euc. 9.Prop.28	9.prop.28	111v			221	
Euc. 9.Prop.29	9.prop.29	112r			222	
Euc. 9.Prop.30	9.prop.30	112r			222	
Euc. 9.Prop.31	9.prop.31	112r			222	
Euc. 9.Prop.32	9.prop.32	112r			222	
Euc. 9.Prop.33	9.prop.33	112v			223	
Euc. 9.Prop.34	9.prop.34	112v			223	
Euc. 9.Prop.35	9.prop.35	112v			223	
Euc. 9.Prop.35	9.prop.35	113r			224	
Euc. 9.Prop.36	9.prop.36	113r			224	
Euc. 10.Prop 1.1	10.prop.1	114v			227	
Euc. 10.Prop 1.2	10.prop.2	115r			228	
Euc. 10.Prop 1.3	10.prop.3	115v			229	
Euc. 10.Prop 1.4	10.prop.4	116r			230	
Euc. 10.Prop 1.5	10.prop.5	116v			231	
	10.prop.6	117r			232	
Euc. 10.Prop 1.7	10.prop.7	117v			233	
Euc. 10.Prop 1.8	10.prop.8	117v			233	
Euc. 10.Prop 1.9	10.prop.9	118r			234	
Euc. 10.Prop 1.10	10.prop.10	119v			237	
Euc. 10.Prop 1.11	10.prop.11	120r			238	
Euc. 10.Prop 1.12	10.prop.12	120r			238	
	10.prop.13	120v			239	
Euc. 10.Prop 1.13	10.prop.14	120v			239	
Euc. 10.Prop 1.14	10.prop.15	121r			240	
Euc. 10.Prop 1.15	10.prop.16	122v			241	
Euc. 10.Prop 1.16	10.prop.17	122v			241	
Euc. 10.Prop 1.17	10.prop.18	123r			242	
Euc. 10.Prop 1.18	10.prop.19	124r			244	
Euc. 10.Prop 1.19	10.prop.20	124v			245	
Euc. 10.Prop 1.20	10.prop.21	125r			246	
Euc. 10.Prop 1.21	10.prop.22	125r			246	
Euc. 10.Prop 1.22	10.prop.23	125v			247	
Euc. 10.Prop 1.23	10.prop.24	125v			247	
Euc. 10.Prop 1.24	10.prop.25	126r			248	
Euc. 10.Prop 1.25	10.prop.26	126r			248	
Euc. 10.Prop 1.26	10.prop.27	126v			249	
Euc. 10.Prop 1.27	10.prop.28	127r			250	
Euc. 10.Prop 1.28	10.prop.29	127v			251	
Euc. 10.Prop 1.29	10.prop.30	128r			252	
Euc. 10.Prop 1.29	10.prop.30	128v			253	
Euc. 10.Prop 1.30	10.prop.31	128v			253	
Euc. 10.Prop 1.31	10.prop.32	129r			254	
Euc. 10.Prop 1.32	10.prop.33	129r			254	
Euc. 10.Prop 1.33	10.prop.34	129v			255	
Euc. 10.Prop 1.34	10.prop.35	130r			256	
Euc. 10.Prop 1.35	10.prop.36	130v			257	
Euc. 10.Prop 1.36	10.prop.37	131r			258	
Euc. 10.Prop 1.37	10.prop.38	131r			258	
Euc. 10.Prop 1.38	10.prop.39	131r			258	
