HathiTrust ID	Date	Language(s)	Includes	Text Quality	Diagrams	Diagram Quality	Format Comments	Other Comments
mdp.39015065258835	1816	Greek,Latin,French	Euclid.Elements:8-10	b&w	inline	good	complex	
inu.30000115432571	1818	German	Euclid.Elements:1-15	b&w,Blackletter,symbols	inline	good	titles,catchwords	
uiuo.ark:/13960/t7xk87w8d	1818	Greek,Latin,French	Euclid.Elements:11-13	color	inline	good	complex	
mdp.39015065258827	1818	Greek,Latin,French	Euclid.Elements:11-13	b&w	inline	good	complex	
chi.48683012	1818	German	Euclid.Elements:1-6,11-12	b&w,symbols,Blackletter	inline	good	titles,catchwords	
nyp.33433062766617	1818	English	Euclid.Elements:1-6	b&w	inline	good	titles,inline comments	
hvd.32044055064778	1821	Greek	Euclid.Elements:10-13	b&w	foldout	not scanned	titles,marginal comments	
nyp.33433069105918	1821	English	Euclid.Elements:1-6,11-12	b&w	inline	good	titles	
nyp.33433069105439	1822	English	Euclid.Elements:1-6	b&w	foldout,pasted cutouts	incomplete	titles,marginal comments	
nnc1.0035541830	1824	Greek,Latin	Euclid.Elements:1-3	b&w	foldout	incomplete	titles,lower comments	
nyp.33433069105454	1824	Greek,Latin	Euclid.Elements:1-3	b&w	foldout	incomplete	titles,lower comments	
mdp.39015068058026	1824	Greek,Latin	Euclid.Elements:1-6	b&w	foldout	incomplete	titles,lower comments	
uc1.$b419149	1824	Greek,Latin	Euclid.Elements:1-3	b&w	foldout	incomplete	titles,lower comments	
hvd.hxkiiy	1824	Greek,Latin	Euclid.Elements:1-3	b&w	foldout	incomplete	titles,lower comments	
hvd.hxkiiz	1824	Greek,Latin	Euclid.Elements:1-3	b&w	foldout	incomplete	titles,lower comments	
njp.32101058463462	1824	Greek,Latin	Euclid.Elements:1-3	b&w	foldout	incomplete	titles,lower comments	
uc1.b4249172	1824	German	Euclid.Elements:1-15	b&w,symbols	inline	good	titles	
nnc1.0035541849	1825	Greek,Latin	Euclid.Elements:4-6	b&w	foldout	incomplete	titles,lower comments	
nyp.33433087574376	1825	Greek,Latin	Euclid.Elements:4-6	b&w	foldout	incomplete	titles,lower comments	
