Google Books ID	Date	Language(s)	Includes	Text Quality	Diagrams	Diagram Quality	Format Comments	Other Comments
QHw-AAAAcAAJ	1654	Latin	Euclid.Elements:1-6	color,ligatures,Greek	inline	good	titles,inline comments,marginal comments,initials	badly imaged
UW8-AAAAcAAJ	1654	Latin	Euclid.Elements:7-16	b&w,ligatures	inline	good	titles,inline comments,marginal comments,initials	
2Q0OAAAAQAAJ	1655	Latin	Euclid.Elements:1-15(selections)	color,ligatures,symbols	inline	good	titles,marginal comments,initials	
Dnw-AAAAcAAJ	1655	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,initials	
hag_AAAAcAAJ	1655	Latin	Euclid.Elements:1-6	color,ligatures,symbols	inline	good	titles,marginal comments,initials	Barrow's edition
WHw-AAAAcAAJ	1655	Latin	Euclid.Elements:1-6	b&w,ligatures,symbols	inline	good	titles,marginal comments,initials	Barrow's edition
wH59yvSiY7IC	1658	Latin	Euclid.Elements:1-9	b&w,ligatures	inline	good	titles,initials,inline comments,marginal comments	
q3s-AAAAcAAJ	1644	French	Euclid.Elements:1-6	color,ligatures,symbols	inline	good	titles,initials,inline comments,columns	
PyPRiwjPSlwC	1654	Latin	Euclid.Elements:1-6	color,ligatures,Greek(notes)	inline	good	titles,initials,inline comments,marginal comments	
xcQTBSK_ofEC	1658	Latin	Euclid.Elements:1-9	color,ligatures	inline	good	titles,initials,inline comments,marginal comments	
Knw-AAAAcAAJ	1659	Latin	Euclid.Elements:1-15	b&w,ligatures,symbols	inline	good	titles,initials,marginal comments	
bP3VU0YL4BcC	1671	Italian	Euclid.Elements:1-6	b&w	inline	good	titles,initials,marginal comments	messy images
ycVZAAAAcAAJ	1673	Latin	Euclid.Elements:1-6	b&w,ligatures,Greek(notes)	inline	good	titles,initials,inline comments,marginal comments,catchwords	
GQ4OAAAAQAAJ	1673	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,marginal comments	
dkdAAAAAcAAJ	1676	French	Euclid.Elements:1-15	color,ligatures	inline	good	titles,initials,inline comments	
Rm0-AAAAcAAJ	1676	French	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles,initials,inline comments	
9ns-AAAAcAAJ	1676	Latin	Euclid.Elements:1-15	b&w,ligatures,symbols	inline	good	titles,initials,marginal comments	
WFk-AAAAcAAJ	1678	Latin	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles,initials,inline comments,marginal comments	
aTgUAAAAQAAJ	1683	French	Euclid.Elements:1-6,11,12	b&w,ligatures	inline	good	titles,initials,inline comments	
8bAOguO9hmIC	1684	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,initials,inline comments,marginal comments	
XWA6l2M8lfAC	1684	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,initials,inline comments,marginal comments	
cHw-AAAAcAAJ	1642	Latin	Euclid.Elements:1-6	b&w,ligatures	inline	good	titles,initials,inline comments,marginal comments	
yK1AAAAAcAAJ	1694	German	Euclid.Elements:1-8	b&w,symbols,Blackletter	inline	good	titles,marginal comments	
0q1AAAAAcAAJ	1699	German	Euclid.Elements:1-8	b&w,symbols,Blackletter	inline	good	titles,marginal comments	
DLVAAAAAcAAJ	1699	German	Euclid.Elements:1-6	color,symbols,Blackletter	inline	good	titles,columns	
tptmOZGF3d4C	1703	Greek,Latin	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles,initials,columns	
mJNBAAAAcAAJ	1703	Greek,Latin	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles,initials,columns	
rM5CAAAAcAAJ	1703	Greek,Latin	Euclid.Elements:1-15	b&w,ligatures	inline	good	titles,initials,columns	
V34-AAAAcAAJ	1705	Latin	Euclid.Elements:1-6	b&w,ligatures,symbols	inline	good	titles,initials,inline comments,marginal comments,catchwords	
_hEhmKfb2XgC	1718	Italian	Euclid.Elements:1-5	b&w	inline	good	titles,marginal comments	
3kd_7k9snUkC	1723	Latin	Euclid.Elements:1-6,11,12	b&w	inline	good	titles,marginal comments	
J0kVAAAAQAAJ	1726	English	Euclid.Elements:1-6,11,12	b&w	inline	good	titles,initials,inline comments,catchwords	
0G5bAAAAQAAJ	1734	Italian	Euclid.Elements:1-5	b&w	inline	good	titles,initials,marginal comments	
b8pqmS4wZ50C	1736	Italian	Euclid.Elements:1-6	b&w	inline	good	titles,initials,inline comments,marginal comments,catchwords	
nXk-AAAAcAAJ	1740	Latin	Euclid.Elements:1-6	b&w,symbols	inline	good	titles,initials,catchwords	
0Hk-AAAAcAAJ	1743	Latin	Euclid.Elements:1-15	b&w,symbols	inline	good	titles,initials,marginal comments,catchwords	
VzMVAAAAQAAJ	1752	English	Euclid.Elements:1-6,11,12	b&w	inline	good	titles,initials,lower comments,catchwords	
jLoyjyWwZ7QC	1756	Latin	Euclid.Elements:1-6,11,12	b&w	inline	good	titles,initials,marginal comments,catchwords	
h7hUAAAAcAAJ	1756	Latin	Euclid.Elements:1-6,11,12	b&w	inline	good	titles,initials,marginal comments,catchwords	
sioVAAAAQAAJ	1756	Latin	Euclid.Elements:1-6,11,12	b&w	inline	good	titles,initials,marginal comments,catchwords	
9zyy5_X8Im4C	1756	English	Euclid.Elements:1-6,11,12	b&w	inline	good	titles,initials,marginal comments,catchwords	
IOZWAAAAcAAJ	1756	English	Euclid.Elements:1-6,11,12	b&w	inline	good	titles,initials,marginal comments,catchwords	
nh4TAAAAQAAJ	1762	French	Euclid.Elements:1-6,11,12	b&w,symbols	inline	good	titles,initials,columns,marginal comments,inline comments	
kT44AAAAMAAJ	1765	English	Euclid.Elements:1-6,11,12	b&w	inline	good	titles,initials,lower comments,catchwords	
sZCh5_EUKnEC	1769	Italian	Euclid.Elements:1-5	b&w	inline	good	titles,marginal comments,catchwords	
mxsTAAAAQAAJ	1769	Latin	Euclid.Elements:1-15	b&w,symbols	inline	good	titles,initials,marginal comments,catchwords	
QqGXRJNq_7oC	1774	Spanish	Euclid.Elements:1-6,11,12	b&w	inline	good	titles,initials,marginal comments,catchwords	
a6ENAAAAQAAJ	1781	English	Euclid.Elements:1-6	b&w	inline	good	titles,marginal comments	starts p.107
zUc-AAAAcAAJ	1781	German	Euclid.Elements:1-15	b&w,symbols,Blackletter	inline	good	titles,initials,catchwords	
03o-AAAAcAAJ	1781	German	Euclid.Elements:1-15	b&w,symbols,Blackletter	inline	good	titles,initials,catchwords	
6no-AAAAcAAJ	1797	German	Euclid.Elements:1-6,11,12	b&w,symbols	inline	good	titles,initials,catchwords	
VksYyWfl69YC	1801	Italian	Euclid.Elements:1-6	b&w	inline	good	titles,initials,lower comments,catchwords	noisy images
XqENAAAAQAAJ	1802	Latin	Euclid.Elements:1-12	b&w,ligatures	inline	good	titles,initials,lower comments,marginal comments,catchwords	scholia
TW0-AAAAcAAJ	1806	German	Euclid.Elements:1-6,11-12	b&w,Blackletter	inline	good	titles,initials	some badly imaged pages
H3s-AAAAcAAJ	1807	German	Euclid.Elements:1-6,11,12	b&w,symbols	inline	good	titles,initials,catchwords	
AHs-AAAAcAAJ	1807	German	Euclid.Elements:1-6,11,12	b&w,symbols	inline	good	titles,initials,catchwords	
dTRZAAAAcAAJ	1808	German	Euclid.Elements:1-4	b&w	inline	good	titles,initials,catchwords	
ky0TAAAAQAAJ	1808	English	Euclid.Elements:1-6,11,12(selections)	b&w	inline	good	titles,catchwords	
KAJ8g5zuFdoC	1814	English	Euclid.Elements:1-6,11,12	b&w	inline	good	titles,marginal comments,lower comments	
kq1AAAAAcAAJ	1814	Greek,Latin,French	Euclid.Elements:1-7	b&w	inline	good	complex	
nwc6QvN0lW8C	1814	English	Euclid.Elements:1-10	b&w	inline	good	titles,inline comments,lower comments	
qK1AAAAAcAAJ	1816	Greek,Latin,French	Euclid.Elements:8-10	b&w	inline	good	complex	
z56hAjiygpMC	1816	English	Euclid.Elements:1-6,11,12	b&w	inline	good	titles,marginal comments,lower comments	
82hJAAAAcAAJ	1818	Greek,Latin,French	Euclid.Elements:11-13	b&w	inline	good	complex	
xuBYAAAAcAAJ	1825	Greek	Euclid.Elements:1-6,11-12	b&w	inline	good	titles	
7Hg-AAAAcAAJ	1825	Greek	Euclid.Elements:1-6,11-12	b&w	inline	good	titles	
Kns-AAAAcAAJ	1825	German	Euclid.Elements:1-6,11-12	b&w,Blackletter,symbols	inline	good	titles,initials,catchwords	
HuoDAAAAQAAJ	1826	English	Euclid.Elements:1-6	b&w,symbols	inline	good	titles,lower comments,marginal comments	
uFMEAAAAQAAJ	1837	English	Euclid.Elements:1-4	b&w,symbols	inline	good	titles	not exactly a translation?
ylsEAAAAQAAJ	1838	English	Euclid.Elements:1-6	b&w	inline	good	titles,inline comments,marginal comments	
E9sDAAAAQAAJ	1840	English	Euclid.Elements:1-6	b&w,symbols	inline	good	titles	
29sDAAAAQAAJ	1840	English	Euclid.Elements:1-4,6(selections)	b&w	inline	good	titles	
gapuw0Pf7eUC	1841	English	Euclid.Elements:1-6,11,12	some b&w,some color	inline	good	titles,marginal comments	
e0GB-MBxXG4C	1842	English	Euclid.Elements:1-6,11-12(selections)	b&w	inline	good	titles	
LlY18fp81JsC	1842	English	Euclid.Elements:1-4,6	b&w	inline	good	titles	
9e4DAAAAQAAJ	1845	English	Euclid.Elements:1-6,11(selections)	b&w	inline	good	titles,inline comments,marginal comments	
WhMEAAAAQAAJ	1845	English	Euclid.Elements:1-6,11,12	b&w	inline	good	titles	
GCoEAAAAQAAJ	1846	English	Euclid.Elements:1-3	b&w	inline	good	titles	
5CkEAAAAQAAJ	1846	English	Euclid.Elements:1-6,11,12	b&w	inline	good	titles	
5-MDAAAAQAAJ	1847	English	Euclid.Elements:1-6	b&w	inline	good	titles	
RU8EAAAAQAAJ	1849	English	Euclid.Elements:1-3	b&w	inline	good	titles	
rPhE8-ydlloC	1850	English	Euclid.Elements:1-6	b&w,some color	inline	good	titles	
lOYDAAAAQAAJ	1852	English	Euclid.Elements:1-2	b&w	inline	good	titles,marginal comments	
TDMDAAAAQAAJ	1852	English	Euclid.Elements:1	b&w	inline	good	titles	
p-YDAAAAQAAJ	1853	English	Euclid.Elements:1-6	b&w	inline	good	titles	
xDADAAAAQAAJ	1853	English	Euclid.Elements:1-4	b&w	inline	good	titles,inline comments	
0jEDAAAAQAAJ	1853	English	Euclid.Elements:1-6,11,12(selections)	b&w	inline	good	titles,inline comments	
