Current Perseus ID	Numbering in work	Page	Link	Temp PNG File	PDF Page	Coords
Euc. 3.Prop.21	3.prop.	38	http://digital.slub-dresden.de/en/workview/dlf/7154/52/0/			
Euc. 3.Prop.22	3.prop.	39	http://digital.slub-dresden.de/en/workview/dlf/7154/53/0/			
Euc. 3.Prop.23	3.prop.	39	http://digital.slub-dresden.de/en/workview/dlf/7154/53/0/			
Euc. 3.Prop.24	3.prop.	39	http://digital.slub-dresden.de/en/workview/dlf/7154/53/0/			
Euc. 3.Prop.25	3.prop.	39	http://digital.slub-dresden.de/en/workview/dlf/7154/53/0/			
Euc. 3.Prop.26	3.prop.	40	http://digital.slub-dresden.de/en/workview/dlf/7154/54/0/			
Euc. 3.Prop.27	3.prop.	40	http://digital.slub-dresden.de/en/workview/dlf/7154/54/0/			
Euc. 3.Prop.28	3.prop.	41	http://digital.slub-dresden.de/en/workview/dlf/7154/55/0/			
Euc. 3.Prop.29	3.prop.	41	http://digital.slub-dresden.de/en/workview/dlf/7154/55/0/			
Euc. 3.Prop.30	3.prop.	41	http://digital.slub-dresden.de/en/workview/dlf/7154/55/0/			
Euc. 3.Prop.31	3.prop.	41	http://digital.slub-dresden.de/en/workview/dlf/7154/55/0/			
Euc. 3.Prop.32	3.prop.	42	http://digital.slub-dresden.de/en/workview/dlf/7154/56/0/			
Euc. 3.Prop.33	3.prop.	43	http://digital.slub-dresden.de/en/workview/dlf/7154/57/0/			
Euc. 3.Prop.34	3.prop.	44	http://digital.slub-dresden.de/en/workview/dlf/7154/58/0/			
Euc. 3.Prop.35	3.prop.	44	http://digital.slub-dresden.de/en/workview/dlf/7154/58/0/			
Euc. 3.Prop.36	3.prop.	44	http://digital.slub-dresden.de/en/workview/dlf/7154/58/0/			
Euc. 3.Prop.36	3.prop.	45	http://digital.slub-dresden.de/en/workview/dlf/7154/59/0/			
Euc. 3.Prop.37	3.prop.	45	http://digital.slub-dresden.de/en/workview/dlf/7154/59/0/			
Euc. 4.Prop.1	4.prop.	46	http://digital.slub-dresden.de/en/workview/dlf/7154/60/0/			
Euc. 4.Prop.2	4.prop.	47	http://digital.slub-dresden.de/en/workview/dlf/7154/61/0/			
Euc. 4.Prop.3	4.prop.	47	http://digital.slub-dresden.de/en/workview/dlf/7154/61/0/			
Euc. 4.Prop.4	4.prop.	47	http://digital.slub-dresden.de/en/workview/dlf/7154/61/0/			
Euc. 4.Prop.5	4.prop.	48	http://digital.slub-dresden.de/en/workview/dlf/7154/62/0/			
Euc. 4.Prop.6	4.prop.	48	http://digital.slub-dresden.de/en/workview/dlf/7154/62/0/			
Euc. 4.Prop.7	4.prop.	49	http://digital.slub-dresden.de/en/workview/dlf/7154/63/0/			
Euc. 4.Prop.8	4.prop.	49	http://digital.slub-dresden.de/en/workview/dlf/7154/63/0/			
Euc. 4.Prop.9	4.prop.	49	http://digital.slub-dresden.de/en/workview/dlf/7154/63/0/			
Euc. 4.Prop.10	4.prop.	50	http://digital.slub-dresden.de/en/workview/dlf/7154/64/0/			
Euc. 4.Prop.11	4.prop.	50	http://digital.slub-dresden.de/en/workview/dlf/7154/64/0/			
Euc. 4.Prop.12	4.prop.	51	http://digital.slub-dresden.de/en/workview/dlf/7154/65/0/			
Euc. 4.Prop.13	4.prop.	52	http://digital.slub-dresden.de/en/workview/dlf/7154/66/0/			
Euc. 4.Prop.14	4.prop.	52	http://digital.slub-dresden.de/en/workview/dlf/7154/66/0/			
Euc. 4.Prop.15	4.prop.	53	http://digital.slub-dresden.de/en/workview/dlf/7154/67/0/			
Euc. 4.Prop.16	4.prop.	53	http://digital.slub-dresden.de/en/workview/dlf/7154/67/0/			
Euc. 5.Prop.1	5.prop.	56	http://digital.slub-dresden.de/en/workview/dlf/7154/70/0/			
Euc. 5.Prop.2	5.prop.	56	http://digital.slub-dresden.de/en/workview/dlf/7154/70/0/			
Euc. 5.Prop.3	5.prop.	56	http://digital.slub-dresden.de/en/workview/dlf/7154/70/0/			
Euc. 5.Prop.4	5.prop.	57	http://digital.slub-dresden.de/en/workview/dlf/7154/71/0/			
Euc. 5.Prop.5	5.prop.	57	http://digital.slub-dresden.de/en/workview/dlf/7154/71/0/			
Euc. 5.Prop.6	5.prop.	68	http://digital.slub-dresden.de/en/workview/dlf/7154/72/0/			
Euc. 5.Prop.7	5.prop.	68	http://digital.slub-dresden.de/en/workview/dlf/7154/72/0/			
Euc. 5.Prop.8	5.prop.	69	http://digital.slub-dresden.de/en/workview/dlf/7154/73/0/			
Euc. 5.Prop.9	5.prop.	69	http://digital.slub-dresden.de/en/workview/dlf/7154/73/0/			
Euc. 5.Prop.10	5.prop.	70	http://digital.slub-dresden.de/en/workview/dlf/7154/74/0/			
Euc. 5.Prop.11	5.prop.	70	http://digital.slub-dresden.de/en/workview/dlf/7154/74/0/			
Euc. 5.Prop.12	5.prop.	70	http://digital.slub-dresden.de/en/workview/dlf/7154/74/0/			
Euc. 5.Prop.13	5.prop.	61	http://digital.slub-dresden.de/en/workview/dlf/7154/75/0/			
Euc. 5.Prop.14	5.prop.	61	http://digital.slub-dresden.de/en/workview/dlf/7154/75/0/			
Euc. 5.Prop.15	5.prop.	62	http://digital.slub-dresden.de/en/workview/dlf/7154/76/0/			
Euc. 5.Prop.16	5.prop.	62	http://digital.slub-dresden.de/en/workview/dlf/7154/76/0/			
Euc. 5.Prop.17	5.prop.	62	http://digital.slub-dresden.de/en/workview/dlf/7154/76/0/			
Euc. 5.Prop.18	5.prop.	63	http://digital.slub-dresden.de/en/workview/dlf/7154/77/0/			
Euc. 5.Prop.19	5.prop.	63	http://digital.slub-dresden.de/en/workview/dlf/7154/77/0/			
Euc. 5.Prop.20	5.prop.	64	http://digital.slub-dresden.de/en/workview/dlf/7154/78/0/			
Euc. 5.Prop.21	5.prop.	64	http://digital.slub-dresden.de/en/workview/dlf/7154/78/0/			
Euc. 5.Prop.22	5.prop.	64	http://digital.slub-dresden.de/en/workview/dlf/7154/78/0/			
Euc. 5.Prop.23	5.prop.	95	http://digital.slub-dresden.de/en/workview/dlf/7154/79/0/			
Euc. 5.Prop.24	5.prop.	66	http://digital.slub-dresden.de/en/workview/dlf/7154/80/0/			
Euc. 5.Prop.25	5.prop.	66	http://digital.slub-dresden.de/en/workview/dlf/7154/80/0/			
Euc. 6.Prop.1	6.prop.	68	http://digital.slub-dresden.de/en/workview/dlf/7154/82/0/			
Euc. 6.Prop.2	6.prop.	69	http://digital.slub-dresden.de/en/workview/dlf/7154/83/0/			
Euc. 6.Prop.3	6.prop.	70	http://digital.slub-dresden.de/en/workview/dlf/7154/84/0/			
Euc. 6.Prop.4	6.prop.	70	http://digital.slub-dresden.de/en/workview/dlf/7154/84/0/			
