MS URN	Shelfmark to Use	Form	Language	Date	Includes	Translator	Collection	Library	Institution	City	Folios	Digital Status	Copyright	Copyright Link	Repository	Link to Digitized Version
urn:cite:ogl:london_add17211	Add MS 17211	Palimpsest	Greek	500-599 CE	10(selections), 13.prop.14		Western Manuscripts	British Library		London	49r-53v	Fully digitized		http://www.bl.uk/aboutus/terms/copyright/	BL Digitised Manuscripts	http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_17211
urn:cite:ogl:london_arundel548	Arundel MS 548	Manuscript	Modern Greek	1500-1525 CE			Western Manuscripts	British Library		London		Fully digitized		http://www.bl.uk/aboutus/terms/copyright/	BL Digitised Manuscripts	http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Arundel_MS_548
urn:cite:ogl:london_arundel84	Arundel MS 84	Manuscript	Latin	1300-1400 CE	1-15	Campanus de Novara		British Library		London	1r-113v	Not digitized				
urn:cite:ogl:london_harley6824	Harley MS 6824	Manuscript			1-10	Guilielmo Oughtred		British Library		London	111r-144v	Not digitized				
urn:cite:ogl:london_harley5266	Harley MS 5266	Manuscript	Latin	1300-1400 CE	1-15	Adelard of Bath (Campanus de Novara)	Western Manuscripts	British Library		London	1r-126v	Fully digitized		http://www.bl.uk/aboutus/terms/copyright/	BL Digitised Manuscripts	http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_5266
urn:cite:ogl:london_harley5404	Harley MS 5404	Manuscript	Latin	1300-1350 CE	1-12	Adelard of Bath (Campanus de Novara)	Western Manuscripts	British Library		London	1r-139v	Fully digitized		http://www.bl.uk/aboutus/terms/copyright/	BL Digitised Manuscripts	http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_5404
urn:cite:ogl:london_burney275	MS Burney 275	Manuscript	Latin	1300-1400 CE	7.prop.3-8.prop.25	Adelard I		British Library		London	302r-308v	Not digitized				
urn:cite:ogl:london_burney275	MS Burney 275	Manuscript	Latin	1300-1400 CE	1.def.1-7.prop.2	Adelard II		British Library		London	293r-302v	Not digitized				
urn:cite:ogl:london_burney275	MS Burney 275	Manuscript	Latin	1300-1400 CE	9.prop.1-15.prop.3	Adelard III		British Library		London	308r-335v	Not digitized				
urn:cite:ogl:london_add22783	Add MS 22783	Manuscript	Latin	1400-1500 CE	1.def.1-7.prop.39, 8.prop.6-15.end	Campanus de Novara	Western Manuscripts	British Library		London	1r-102v	Not digitized			BL Catalogue	
urn:cite:ogl:london_add23387	Add MS 23387 	Manuscript	Arabic	1258 CE	1-15	Nasir ad-Din at-Tusi	Oriental Manuscripts	British Library		London	2v-216v	Not digitized			BL Catalogue	
urn:cite:ogl:london_add27261	Add MS 27261	Manuscript	Persian	1410-1411 CE			Oriental Manuscripts	British Library		London	343r-344r	Fully digitized		http://www.bl.uk/aboutus/terms/copyright/	BL Digitised Manuscripts	http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_27261
urn:cite:ogl:london_add32496	Add MS 32496	Manuscript	Latin	1710-1720 CE		Isaac Barrow	Western Manuscripts	British Library		London		Not digitized			BL Catalogue	
urn:cite:ogl:london_add33381	Add MS 33381	Folio	Latin	1200-1300 CE	3.prop.36-4.prop.4, 5.prop.17-6.prop.3	Adelard II	Western Manuscripts	British Library		London	186r-186v	Not digitized			BL Catalogue	
urn:cite:ogl:london_add34018	Add MS 34018 	Manuscript	Latin	1200-1300 CE	1-15	Adelard II	Western Manuscripts	British Library		London	1r-78v	Not digitized			BL Catalogue	
urn:cite:ogl:london_arundel339	Arundel MS 339	Manuscript	Latin	1200-1300 CE		Pseudo-Boethius (Geometry II)		British Library		London	49r-59v	Not digitized				
urn:cite:ogl:london_harley3595	Harley MS 3595	Manuscript	Latin	1000-1100 CE		Pseudo-Boethius (Geometry II)	Western Manuscripts	British Library		London	57r-68r	Fully digitized		http://www.bl.uk/aboutus/terms/copyright/	BL Digitised Manuscripts	http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_3595
urn:cite:ogl:london_lansdowne842b	Lansdowne MS 842 B	Manuscript	Latin	1400-1500 CE		Pseudo-Boethius (Geometry II)		British Library		London	51r-65v	Not digitized				
urn:cite:ogl:london_royal10avii	Royal MS 10 A VII	Folio	Latin	1200-1300 CE	1.def, 1.cn, 1.post	Adelard II	Western Manuscripts	British Library		London	213r-213v	Not digitized			BL Catalogue	
