MS URN	Shelfmark to Use	Form	Language	Date	Includes	Translator	Collection	Library	Institution	City	Folios	Digital Status	Copyright	Copyright Link	Repository	Link to Digitized Version
	Cod. Paris. 2762	Manuscript	Greek	1400-1500 CE	1-8		Département des manuscrits	Bibliothèque Nationale de France		Paris		Not digitized				
urn:cite:ogl:paris_mazarine3635	Ms 3635	Manuscript	Latin	1300-1400 CE	1.def.2(end)-1.prop.40(beginning), 1.prop.49(end)-3.prop.35(beginning), 4.prop.2(end)-7.prop.39(beginning), 10.prop.35(end)-12.prop.8(beginning), 13.prop.12(end)-15.end	Campanus de Novara		Bibliothèque Mazarine		Paris	1r-112v	Partially digitized	Open Content License	http://www.calames.abes.fr/pub/informationsLegales.aspx		http://www.calames.abes.fr/pub/ms/MAZC11250 
urn:cite:ogl:paris_arabe2484	Arabe 2484	Manuscript	Arabic	1284-1285 CE	1-15(abridged)		Département des manuscrits	Bibliothèque Nationale de France		Paris	144r-221v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b52504032v	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b52504032v
urn:cite:ogl:paris_arabe2500	Arabe 2500	Manuscript	Arabic	1403 CE		Ishaq-Thabit		Bibliothèque Nationale de France		Paris	95v-109r	Not digitized				
urn:cite:ogl:paris_hebreu1010	Hébreu 1010	Manuscript	Hebrew	1400-1600 CE	1-15		Département des manuscrits	Bibliothèque Nationale de France		Paris	1r-210v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9064462p	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9064462p
urn:cite:ogl:paris_hebreu1011	Hébreu 1011	Manuscript	Hebrew	1200-1400 CE	2-15		Département des manuscrits	Bibliothèque Nationale de France		Paris	1r-64r	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b90644099	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b90644099
urn:cite:ogl:paris_hebreu1012	Hébreu 1012	Manuscript	Hebrew	1400-1500 CE			Département des manuscrits	Bibliothèque Nationale de France		Paris	1r-245v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b90643430	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b90643430
urn:cite:ogl:paris_hebreu1013	Hébreu 1013	Manuscript	Hebrew	1400-1500 CE	1-15		Département des manuscrits	Bibliothèque Nationale de France		Paris	1r-47v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9064873v	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9064873v
urn:cite:ogl:paris_hebreu1014	Hébreu 1014	Manuscript	Hebrew	1500-1600 CE			Département des manuscrits	Bibliothèque Nationale de France		Paris	1r-157r	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9064970z	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9064970z
urn:cite:ogl:paris_hebreu1015	Hébreu 1015	Manuscript	Hebrew	1500-1600 CE			Département des manuscrits	Bibliothèque Nationale de France		Paris	1r-28v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b90645109	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b90645109
urn:cite:ogl:paris_hebreu1381	Hébreu 1381	Manuscript	Arabic (Hebrew characters)	1400-1500 CE				Bibliothèque Nationale de France		Paris		Not digitized				
urn:cite:ogl:paris_latin10257	Latin 10257	Manuscript	Latin	1200-1300 CE	1-15	"Mélanges"	Département des manuscrits	Bibliothèque Nationale de France		Paris	1r-88v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b90669532	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b90669532
urn:cite:ogl:paris_latin11245	Latin 11245	Manuscript	Latin	1200-1300 CE	1.def.1-7.prop.36, 10.prop.1-20, 10.prop.86-90	Adelard II		Bibliothèque Nationale de France		Paris	1r-57v	Not digitized				
urn:cite:ogl:paris_latin11247	Latin 11247	Scholia	Latin	1500-1600 CE		Gerard of Gremona		Bibliothèque Nationale de France		Paris	78r-91v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9066855j/f78.image	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9066855j/f78.image
urn:cite:ogl:paris_latin12963	Latin 12963	Manuscript	Latin	900-950 CE		Boethius (Cassiodorus)		Bibliothèque Nationale de France		Paris		Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b90767898/f51.image	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b90767898/f51.image
urn:cite:ogl:paris_latin13020	Latin 13020	Manuscript	Latin	800-900 CE		Pseudo-Boethius (Geometry I)		Bibliothèque Nationale de France		Paris	59v-83v	Not digitized				
urn:cite:ogl:paris_latin13955	Latin 13955	Manuscript	Latin	800-900 CE		Pseudo-Boethius (Geometry I)		Bibliothèque Nationale de France		Paris	107r-123v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9066978w/f115.image	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9066978w/f115.image
urn:cite:ogl:paris_latin14068	Latin 14068	Manuscript	Latin	1400-1500 CE	1.def.1-2.prop.11(enunciations only)	Campanus de Novara		Bibliothèque Nationale de France		Paris	5r-8v	Not digitized				
urn:cite:ogl:paris_latin14080	Latin 14080	Manuscript	Latin	800-900 CE		Pseudo-Boethius (Geometry I)		Bibliothèque Nationale de France		Paris	65-72v, 80-87v, 79-79v, 73-77v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b90778250/f69.image	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b90778250/f69.image
urn:cite:ogl:paris_latin14735	Latin 14735	Manuscript	Latin	1400-1500 CE	1-15	Campanus de Novara		Bibliothèque Nationale de France		Paris	1r-127v	Not digitized				
urn:cite:ogl:paris_latin16197	Latin 16197	Manuscript	Latin	1200-1300 CE	1-15	Campanus de Novara		Bibliothèque Nationale de France		Paris	2r-134v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9067733x/f3.image	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9067733x/f3.image
urn:cite:ogl:paris_latin16198	Latin 16198	Manuscript	Latin	1300-1400 CE	1-15	Campanus de Novara		Bibliothèque Nationale de France		Paris	2r-73v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b90671704/f4.image	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b90671704/f4.image
urn:cite:ogl:paris_latin16201	Latin 16201	Manuscript	Latin	1100-1200 CE	1.def.1-8.prop.22	Adelard I		Bibliothèque Nationale de France		Paris	35r-82v	Not digitized				
urn:cite:ogl:paris_latin16208	Latin 16208	Manuscript	Latin	1150-1200 CE		Liber ysagogarum Alchorismi		Bibliothèque Nationale de France		Paris	67r-71v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9065939g/f139.image	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9065939g/f139.image
urn:cite:ogl:paris_latin16646	Latin 16646	Manuscript	Latin	1200-1300 CE	1-12	Hermann of Carinthia		Bibliothèque Nationale de France		Paris	2r-108v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9066077c/f2.image	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9066077c/f2.image
urn:cite:ogl:paris_latin16647	Latin 16647	Manuscript	Latin	1200-1250 CE	10-15	Adelard II		Bibliothèque Nationale de France		Paris	3r-92v	Not digitized				
urn:cite:ogl:paris_latin16648	Latin 16648	Manuscript	Latin	1200-1300 CE	10-15	Adelard III		Bibliothèque Nationale de France		Paris	2r-58v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9066076z/f2.image	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9066076z/f2.image
urn:cite:ogl:paris_latin3411	Latin 3411	Manuscript	Latin	1400-1500 CE	1.prop.1-31	Campanus de Novara		Bibliothèque Nationale de France		Paris	92r-99v	Not digitized				
urn:cite:ogl:paris_latin7185	Latin 7185	Manuscript	Latin	1175-1200 CE		Pseudo-Boethius (Geometry II)		Bibliothèque Nationale de France		Paris	62v-80v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9072601b/f76.item	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9072601b/f76.item
urn:cite:ogl:paris_latin7213	Latin 7213	Manuscript	Latin	1300-1400 CE	1-15	Campanus de Novara		Bibliothèque Nationale de France		Paris	1r-173v	Not digitized				
urn:cite:ogl:paris_latin7214	Latin 7214	Manuscript	Latin	1300-1400 CE	1-15	Campanus de Novara		Bibliothèque Nationale de France		Paris	1r-207v	Not digitized				
urn:cite:ogl:paris_latin7215	Latin 7215	Manuscript	Latin	1275-1300 CE	1-15	Adelard II		Bibliothèque Nationale de France		Paris	4v-105v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9066183f/f6.image	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9066183f/f6.image
urn:cite:ogl:paris_latin7216	Latin 7216	Manuscript	Latin	1400-1500 CE	1-15	Gerard of Gremona		Bibliothèque Nationale de France		Paris	1r-107v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b90661821	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b90661821
urn:cite:ogl:paris_latin7216a	Latin 7216A	Manuscript	Latin	1400-1500 CE	1-15	Campanus de Novara		Bibliothèque Nationale de France		Paris	1r-190v	Not digitized				
urn:cite:ogl:paris_latin7292	Latin 7292	Manuscript	Latin	1400-1500 CE	7.def.1-10.prop.24	Adelard II		Bibliothèque Nationale de France		Paris	247r-267v	Not digitized				
urn:cite:ogl:paris_latin7366	Latin 7366	Manuscript	Latin	1300-1400 CE	1.def.1-6.prop.2	Campanus de Novara		Bibliothèque Nationale de France		Paris	51r-84v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9067095m/f51.image	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9067095m/f51.image
urn:cite:ogl:paris_latin7373	Latin 7373	Manuscript	Latin	1200-1300 CE		Unknown Greek-Latin		Bibliothèque Nationale de France		Paris	2r-175v	Not digitized				
urn:cite:ogl:paris_latin7373	Latin 7373	Folio	Latin	1300-1400 CE	1.def, 1.cn, 1.post	Campanus de Novara		Bibliothèque Nationale de France		Paris	2r-2v	Not digitized				
urn:cite:ogl:paris_latin7374	Latin 7374	Manuscript	Latin	1200-1250 CE	1.def.1-1.prop.46, 10.intro	Adelard II		Bibliothèque Nationale de France		Paris	1r-13v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b90661947	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b90661947
urn:cite:ogl:paris_latin7374	Latin 7374	Manuscript	Latin	1200-1250 CE	1.prop.47-9.prop.38	Adelard II, Adelard I		Bibliothèque Nationale de France		Paris	13v-109v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b90661947	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b90661947
urn:cite:ogl:paris_latin7374a	Latin 7374A	Manuscript	Latin	1275-1300 CE	1.def.1-9.prop.13	Adelard II		Bibliothèque Nationale de France		Paris	1r-57v	Not digitized				
urn:cite:ogl:paris_latin7375	Latin 7375	Manuscript	Latin	1300-1400 CE	1.def.1-5.def.16	Campanus de Novara		Bibliothèque Nationale de France		Paris	1r-54v	Not digitized				
urn:cite:ogl:paris_latin7377b	Latin 7377B	Scholia	Latin	1300-1500 CE		Gerard of Gremona		Bibliothèque Nationale de France		Paris	1r-9v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9066499b/f1.image	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9066499b/f1.image
urn:cite:ogl:paris_latin7377c	Latin 7377C	Manuscript	Latin	1075-1100 CE		Pseudo-Boethius (Geometry II)		Bibliothèque Nationale de France		Paris	18v-24, 25v-34v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b9072623x/f33.item	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b9072623x/f33.item
urn:cite:ogl:paris_latin7420a	Latin 7420A	Manuscript	Latin	1250-1300 CE	1.def.1-3.prop.35	Adelard II		Bibliothèque Nationale de France		Paris	80r-85v	Not digitized				
urn:cite:ogl:paris_latin8671a	Latin 8679A	Manuscript	Latin	1500-1600 CE		Boethius (Corpus agrimensorum)		Bibliothèque Nationale de France		Paris	19r-21v	Not digitized				
urn:cite:ogl:paris_persan169	Persan 169	Manuscript	Arabic	1500-1625 CE	2	al-Hajjaj II		Bibliothèque Nationale de France		Paris	102v-104v	Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b52503120k/	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b52503120k/
urn:cite:ogl:périgueux_0006	ms 0006	Manuscript	Middle French	1499-1598 CE				Bibliothèque de Périgueux		Périgueux	1r-138v	Partially digitized	Public Domain	http://manuscrits-drac.bnsa.aquitaine.fr/notices-manuscrit/ms0006-euclides-et-autres-pieces.aspx	Gallica	http://manuscrits-drac.bnsa.aquitaine.fr/notices-manuscrit/ms0006-euclides-et-autres-pieces.aspx
urn:cite:ogl:perugia_f61	F 61	Manuscript	Latin	1400-1500 CE	1.def.1-1.prop.9	Campanus de Novara		Biblioteca Comunale Augusta di Perugia		Perugia	94r-99v (95r-100v)	Not digitized				
urn:cite:ogl:philadelphia_poxy_1_29	P.Oxy. 1 29	Papyrus	Greek	1-400 CE	2.prop.5(enunciation)			University of Pennsylvania Museum	University of Pennsylvania	Philadelphia		Fully digitized	Public Domain	https://commons.wikimedia.org/wiki/File:P._Oxy._I_29.jpg		http://en.wikipedia.org/wiki/Papyrus_Oxyrhynchus_29
urn:cite:ogl:philadelphia_ljs37	LJS 37	Manuscript	Arabic	1108-1111 CE			Lawrence J. Schoenberg Collection		University of Pennsylvania	Philadelphia	1r-92r	Fully digitized		http://dla.library.upenn.edu/dla/medren/ancillary.html?id=collections/brinton/copyright	UPenn SCETI	http://dla.library.upenn.edu/dla/medren/pageturn.html?id=MEDREN_4805493
urn:cite:ogl:pommersfelden_230	230 (2852)	Manuscript	Latin	1398 CE	1-15	Campanus de Novara		Graf von Schönbornsche Schlossbibliothek		Pommersfelden	1r-149v	Not digitized				
urn:cite:ogl:prague_1459	MS 1459	Manuscript	Latin	1300-1400 CE	1.def.1-3.prop.29(enunciations only)	Campanus de Novara		Knihovna Metropolitnì Kapituli	Metropolitní kapitula u sv. Víta v Praze	Prague	53v-60v	Not digitized				
urn:cite:ogl:prague_ivd5	IV.D.5	Manuscript	Latin	1280-1320 CE / 1200-1399 CE	1.def.1-1.prop.1,1.prop.12-4.def.7,4.prop.16-15.end	Campanus de Novara		Národní knihovna České republiky		Prague	1r-157r	Fully digitized		http://www.manuscriptorium.com/index.php?q=node/88	Manuscriptorium	http://www.manuscriptorium.com/apps/main/en/index.php?request=request_document&docId=set20090410_155_15
urn:cite:ogl:prague_a4	MS a 4	Manuscript	Latin	1300-1500 CE	1-15	Campanus de Novara		Narodni Museum Nostitz		Prague	1r-157v	Not digitized				
urn:cite:ogl:prague_iii_h_19	MS III.H.19 (= 572)	Manuscript	Latin	1150-1200 CE	1.def.1-12.prop.4	Adelard II		Universitnì Knihovna	Univerzita Karlova v Praze	Prague	1r-127v	Not digitized				
urn:cite:ogl:prague_ix_c_6	MS IX.C.6 (= 1717)	Manuscript	Latin	900-1000 CE		Pseudo-Boethius (Geometry I)		Universitnì Knihovna	Univerzita Karlova v Praze	Prague	47r-63v	Not digitized				
urn:cite:ogl:prague_viig27	VIII. G. 27.	Manuscript	Latin	1400-1500 CE	1.prop.1-4.end(enunciations only)	Campanus de Novara		Universitnì Knihovna	Univerzita Karlova v Praze	Prague	135r-145v	Not digitized				
urn:cite:ogl:princeton_garrett104	Garrett MS. 104	Manuscript	Latin	1400-1500 CE	1-15	Campanus de Novara		University Library	Princeton University	Princeton		Not digitized				
urn:cite:ogl:princeton_garret1495y	Garrett no. 1495Y	Manuscript	Persian	1552 CE	3-15	Nasir ad-Din at-Tusi, Masʻūd al-Shīrāzī	Rare Books and Special Collections		Princeton University	Princeton		Not digitized			Princeton University Catalog	
urn:cite:ogl:princeton_garrett153l	Garrett no. 153L	Manuscript	Arabic	1330 CE		Hajjaj / Ishaq	Rare Books and Special Collections		Princeton University	Princeton		Not digitized			Princeton University Catalog	
urn:cite:ogl:princeton_garrett270l	Garrett no. 270L	Manuscript	Arabic	1500-1599 CE			Rare Books and Special Collections		Princeton University	Princeton		Not digitized			Princeton University Catalog	
urn:cite:ogl:princeton_garrett3769y	Garrett no. 3769Y	Manuscript	Arabic	1629 CE		Nasir ad-Din at-Tusi	Rare Books and Special Collections		Princeton University	Princeton		Not digitized			Princeton University Catalog	
urn:cite:ogl:princeton_newseries1300	New Series no. 1300	Manuscript	Arabic	1562 CE		Nasir ad-Din at-Tusi	Rare Books and Special Collections		Princeton University	Princeton		Not digitized			Princeton University Catalog	
urn:cite:ogl:qom_6525	MS 6525	Manuscript						Ayatollah Marashi Najafi Library		Qom		Not digitized				
urn:cite:ogl:rabat_1101	MS 1101	Manuscript	Arabic	1284-1285 CE	1-15	Ishaq-Thabit		al-Malik		Rabat	1r-220v	Not digitized				
urn:cite:ogl:rabat_5317	MS 5317	Manuscript	Arabic	1607 CE	1-8	Ishaq-Thabit		al-Malik		Rabat	1r-63v	Not digitized				
urn:cite:ogl:rampur_arshi200	MS Arshi 200	Manuscript	Arabic	988 CE	1-15	Ishaq-Thabit		Rampur Raza Library		Rampur	1r-214v	Not digitized				
urn:cite:ogl:ravenna_136	MS 136	Manuscript	Latin	1400-1500 CE	1-9	Campanus de Novara		Istituzione Biblioteca Classense		Ravenna		Not digitized				
urn:cite:ogl:reims_897	MS 897	Manuscript	Latin	1451-1455 CE	1.def.1-1.prop.6	Campanus de Novara		Bibliothèque Municipale de Reims		Reims	66r-70v	Not digitized				
urn:cite:ogl:rome_c2_9	Cod C 2, 9	Manuscript	Greek	1400-1500 CE	1-15			Biblioteca Angelica		Rome		Not digitized				
urn:cite:ogl:rome_d8_2	Cod D 8, 2	Manuscript	Latin		(excerpts)			Biblioteca Angelica		Rome		Not digitized				
urn:cite:ogl:rome_g_iv_3	Cod G IV, 3	Manuscript	Greek	1500-1600 CE				Biblioteca Casanatense		Rome		Not digitized				
urn:cite:ogl:rome_127	ms.127	Manuscript	Latin	1400-1500 CE	1.def.1-1.prop.2(beginning)	Campanus de Novara		Biblioteca Angelica		Rome	3r-5v	Not digitized				
urn:cite:ogl:rome_f86	F. 86	Manuscript	Latin	1300-1400 CE	1.def.1-1.prop.5	Gerard of Gremona		Biblioteca Vallicelliana		Rome	49r-54v	Not digitized				
urn:cite:ogl:rostock_philol18	Mss. philol. 18	Manuscript	Latin	1200-1300 CE		Pseudo-Boethius (Geometry I)		Universitätsbibliothek Rostock	Universität Rostock	Rostock	p.1-17	Not digitized				
urn:cite:ogl:rostock_philol18	Mss. philol. 18	Manuscript	Latin	1200-1300 CE		Pseudo-Boethius (Geometry II)		Universitätsbibliothek Rostock	Universität Rostock	Rostock	p.29-30	Not digitized				
urn:cite:ogl:salamanca_221	Ms. 221	Manuscript	Latin	1300-1400 CE	1-15	Campanus de Novara		Biblioteca Universitaria	Universidad de Salamanca	Salamanca	1r-177v	Not digitized				
urn:cite:ogl:salamanca_2624	Ms. 2624	Manuscript	Latin	1200-1400 CE	1-15	Campanus de Novara		Biblioteca Universitaria	Universidad de Salamanca	Salamanca	1r-94v	Not digitized				
urn:cite:ogl:seville_98_27	MS 98-27	Manuscript	Latin	1400-1500 CE	1.def.1-2.prop.8	Campanus de Novara		La Biblioteca Capitular	Catedral de Toledo	Seville	98r-119v	Not digitized				
urn:cite:ogl:southhadley_fayum268	Papyrus Fayum 268	Papyrus	Greek	100-200 CE	1.prop.39, 1.prop.41			Archives and Special Collections	Mount Holyoke College	South Hadley		Fully digitized	All rights reserved		MHC Digital Collections	http://mtholyoke.cdmhost.com/cdm/compoundobject/collection/p1030coll8/id/5510/rec/1
urn:cite:ogl:stgallen_sang830	Cod. Sang. 830	Manuscript	Latin	1000-1100 CE		Pseudo-Boethius (Geometry I)		Stiftsbibliothek St. Gallen		St. Gallen	283-310	Fully digitized	CC-BY-NC 3.0	http://www.e-codices.unifr.ch/en/about/terms	e-codices	http://www.e-codices.unifr.ch/en/description/csg/0830
urn:cite:ogl:admont_fragment4	fragment 4	Folio	Latin	1300-1400 CE		Liber ysagogarum Alchorismi		Stiftsbibliothek Admont	Stifts Admont	Admont	1r-1v	Not digitized				
urn:cite:ogl:stuttgart_hbxi24	HB XI 24	Manuscript	Latin	1468-1472 CE	1.def.1-6.prop.32	Campanus de Novara		Württembergische Landesbibliothek		Stuttgart	2r-98v	Not digitized				
urn:cite:ogl:tehran_200	MS 200	Manuscript	Arabic	1400-1500 CE	1-15	Ishaq-Thabit		Majlis Shura Islami		Tehran	1r-226v	Not digitized				
urn:cite:ogl:tehran_3586	MS 3586	Manuscript	Arabic	954-955 CE		Ishaq-Thabit		Malek National Library and Museum Institution		Tehran	1r-240v	Not digitized				
urn:cite:ogl:tehran_2120	MS 2120	Manuscript	Arabic	954-955 CE		Ishaq-Thabit			University of Tehran	Tehran	1r-6v	Not digitized				
urn:cite:ogl:tehran_sipahsalar540	Sipahsalar 540	Manuscript	Arabic	1690 CE		Pseudo at-Tusi				Tehran		Not digitized				
		Manuscript		1700-1800 CE				Bibliotheca Communalis		Terni		Not digitized				
					5					The Hague		Not digitized				
										The Hague		Not digitized				
urn:cite:ogl:turin_lxvii	Cod. LXVII	Manuscript	Hebrew					Biblioteca Nazionale Universitaria di Torino		Turin		Not digitized				
urn:cite:ogl:turin_lxviii_a_i_21	Cod. LXVIII. a. I. 21	Manuscript	Hebrew					Biblioteca Nazionale Universitaria di Torino		Turin		Not digitized				
urn:cite:ogl:turin_viii_a_i_20	Cod. VIII. a. I. 20	Manuscript	Hebrew	1324 CE				Bibliotheca Universitatis		Turin		Not digitized				
urn:cite:ogl:uppsala_ovet20	MS O.Vet. 20	Manuscript	Arabic	1042-1043 CE		Ishaq-Thabit		Universitetsbiblioteket	Uppsala universitet	Uppsala	1r-202v	Not digitized				
urn:cite:ogl:valenciennes_195	Ms.195	Manuscript	Latin	800-900 CE		Boethius (Cassiodorus)		Bibliothèque municipale de Valenciennes		Valenciennes		Fully digitized	Public Domain	http://gallica.bnf.fr/ark:/12148/btv1b84525921	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b84525921
urn:cite:ogl:vatican_barbgr128	Barb.gr.128	Folio	Greek	1400-1500 CE				Biblioteca Apostolica Vaticana		Vatican	32r	Fully digitized	All rights reserved		Biblioteca Apostolica Vaticana	http://www.mss.vatlib.it/guii/console?service=shortDetail&id=130964
urn:cite:ogl:vatican_ottgr310	Ott.gr.310	Manuscript	Greek	1400-1600 CE	1-10.prop.17			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_palgr95	Pal.gr.95	Manuscript	Greek	1400-1500 CE	1-10.prop.30			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr1038	Vat.gr.1038	Manuscript	Greek	1200-1300 CE	2.prop.8-15.end			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr1039	Vat.gr.1039	Manuscript	Greek	1400-1500 CE	14-15			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr1040	Vat.gr.1040	Manuscript	Greek	1400-1600 CE	1-6(definitions)			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr1041	Vat.gr.1041	Manuscript	Greek	1600-1700 CE	12-13			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr1042	Vat.gr.1042	Manuscript	Greek	1500-1600 CE	1(definitions)			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr1043	Vat.gr.1043	Manuscript	Greek	1400-1500 CE	1(definitions),1-2,3(beginning)			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr1051	Vat.gr.1051	Manuscript	Greek	1400-1500 CE	1-11			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr1295	Vat.gr.1295	Manuscript	Greek	1400-1500 CE	1-13			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr190	Vat.gr.190	Manuscript	Greek	9th-900-1000 CE	1-15			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr192	Vat.gr.192	Manuscript	Greek	1300-1400 CE	1-13			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr193	Vat.gr.193	Manuscript	Greek	1400-1600 CE	1-13			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr196	Vat.gr.196	Manuscript	Greek	1400-1500 CE	1-12			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr199	Vat.gr.199	Manuscript	Greek	1500-1600 CE	1-12.prop.20			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr207	Vat.gr.207	Manuscript	Greek	1300-1400 CE	1-5.prop.19			Biblioteca Apostolica Vaticana		Vatican		Fully Digitized	Copyright			http://digi.vatlib.it/view/MSS_Vat.gr.207
urn:cite:ogl:vatican_vatgr246	Vat.gr.246	Manuscript	Greek	1500-1600 CE				Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_vatgr1038	Vat.gr.1038	Manuscript	Greek	1200-1300 CE	2.prop.8-15.end			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_ii65	Cod. II, 65	Manuscript	Greek	1400-1500 CE	1-13			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_cccxxxviii	Codex (n.'' CCCXXXVIII)	Manuscript	Hebrew		1-13			Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_ccxc	Codex (n.'' CCXC)	Manuscript	Hebrew			Moses ibn Tibbon		Biblioteca Apostolica Vaticana		Vatican		Not digitized				
urn:cite:ogl:vatican_archcapspietroh35	Arch.Cap.S.Pietro.H.35	Manuscript	Latin	1300-1325 CE	1-15	Campanus de Novara		Archivum Secretum Vaticanum		Vatican	1r-142v	Fully digitized	All rights reserved		Biblioteca Apostolica Vaticana	http://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.H.35
urn:cite:ogl:vatican_barblat103	Barb.lat.103	Manuscript	Latin	1400-1500 CE	10.prop.19-15.end	Campanus de Novara		Biblioteca Apostolica Vaticana		Vatican	1r-60v	Not digitized				
urn:cite:ogl:vatican_barblat92	Barb.lat.92	Manuscript	Latin	1100 CE		Pseudo-Boethius (Geometry I)		Biblioteca Apostolica Vaticana		Vatican	19v-22v	Not digitized				
urn:cite:ogl:vatican_barblat92	Barb.lat.92	Manuscript	Latin	1100 CE		Pseudo-Boethius (Geometry II)		Biblioteca Apostolica Vaticana		Vatican	3r-16v	Not digitized				
urn:cite:ogl:vatican_pallat1348	MS Palat.lat.1348	Manuscript	Latin	1300-1400 CE	1.def.1-5.prop.28	Campanus de Novara		Biblioteca Apostolica Vaticana		Vatican	1r-37v	Not digitized				
